Key,Description,Standard,EN
SAY.Introdunction.77.,,[走出墓园的大门，你缓缓走在回家的路上。],"[As you walk out of the cemetery gates, you slowly make your way home.]"
SAY.Introdunction.78.,,[四周的世界仿佛也在为你披上了一层哀伤的面纱，空气中弥漫着一种说不出的沉重。],"[The world around you seems to drape itself in a veil of sorrow for you, with an indescribable heaviness permeating the air.]"
SAY.Introdunction.79.,,[回想过去的48小时，一切仿佛如梦幻泡影],"[Reflecting on the past 48 hours, everything seems like a fleeting dream.]"
SAY.Introdunction.80.,,[那通承载了父亲去世消息的电话，将你从日常的平静中无情抽离，投入到一个不可思议的悲伤的深渊],"[The phone call bearing the news of your father's passing mercilessly pulled you from your daily tranquility, casting you into an unfathomable abyss of grief.]"
SAY.Introdunction.81.,,[你的脚步不自觉地放慢，每一步都踏在记忆的影子上。],"[Your steps slow unconsciously, each one treading on the shadows of memories.]"
SAY.Introdunction.82.,,[就在这沉浸于往昔回忆的时刻，不知不觉间，你已经走到了家门口],"[Lost in these reflections of the past, before you realize it, you've arrived at your doorstep.]"
SAY.Introdunction.83.,,[就在这时，你看到一个身穿黑衣的男子，站在你家门口],"[Just then, you see a man dressed in black standing at your doorstep.]"
SAY.Introdunction.84.黑衣人,,你好，袁小姐。我是借贷公司的业务员。,"Hello, Miss Yuan. I am a salesman from the loan company."
SAY.Introdunction.85.黑衣人,,您的父亲生前在我们公司以店铺为抵押，借走了十万元。,Your father had mortgaged his shop with our company and borrowed one hundred thousand yuan.
SAY.Introdunction.86.我,,怎么可能，我从来没有听父亲说起过这件事？,How is that possible? I've never heard my father mention this.
SAY.Introdunction.87.黑衣人,,不幸的是，这是真的。这是我们公司与您的父亲的合同。,"Unfortunately, this is true. Here is the contract between our company and your father."
SAY.Introdunction.88.,,[你检查了合同，上面确实有着父亲的签名],"[You examine the contract, and indeed, there is your father's signature on it.]"
SAY.Introdunction.89.黑衣人,,我们对您父亲的去世深表遗憾,We deeply regret the passing of your father.
SAY.Introdunction.90.黑衣人,,但是，如今这十万元还有一个月就要到期了,"However, the one hundred thousand yuan is due in a month's time."
